,afr,aii,ang,ara,arw,bft,bod,ces,chn,cho,cmn,cre,dan,deu,dum,egy,ell,eng,enm,ett,fas,fra,frk,frm,fro,gla,gle,gmh,gml,goh,grc,guj,haw,hbs,heb,hin,ipk,isl,ita,jpn,lao,lat,lav,msa,nah,nan,nap,nav,nci,nld,non,oci,odt,osp,p_gem,pal,phn,pim,pol,por,pro,que,rom,rus,san,sco,sga,spa,sth,swe,tam,tha,tnq,ton,tur,vec,wol,xno,yid,zku,zul
ca01,0.0,0.0,0.16359918200409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245398773006135,0.0,0.0,0.05930470347648262,0.0,0.010224948875255624,0.17586912065439672,0.0,0.0,0.0,0.0,0.0,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02044989775051125,0.0,0.0,0.294478527607362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408997955010225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06748466257668712,0.0,0.0,0.0
ca02,0.0,0.0,0.15913978494623657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008602150537634409,0.0,0.0,0.0,0.004301075268817204,0.23225806451612904,0.0,0.0,0.03225806451612903,0.0,0.021505376344086023,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0,0.2731182795698925,0.0,0.0,0.0,0.002150537634408602,0.0,0.0,0.0,0.004301075268817204,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002150537634408602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0
ca03,0.0,0.0,0.18726591760299627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149812734082397,0.0,0.0,0.0,0.0,0.2602996254681648,0.0,0.0,0.05805243445692884,0.0,0.011235955056179775,0.15168539325842698,0.0,0.0,0.0,0.0,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27902621722846443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299625468164794,0.0,0.0,0.0
ca04,0.0,0.0,0.14563106796116504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19805825242718447,0.0,0.0,0.031067961165048542,0.0,0.011650485436893204,0.1941747572815534,0.0,0.0,0.0,0.0,0.0,0.017475728155339806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007766990291262136,0.0,0.0,0.3359223300970874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.001941747572815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04660194174757282,0.0,0.0,0.0
ca05,0.0,0.0,0.17988394584139264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.18568665377176016,0.0,0.0,0.03288201160541586,0.0,0.019342359767891684,0.20309477756286268,0.0,0.0,0.0,0.0,0.0,0.01160541586073501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.25338491295938104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009671179883945842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08123791102514506,0.0,0.0,0.0
ca06,0.0,0.0,0.20987654320987653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20987654320987653,0.0,0.0,0.0411522633744856,0.0,0.00411522633744856,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0102880658436214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02263374485596708,0.0,0.0,0.2716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102880658436214,0.0,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0
ca07,0.0,0.0,0.1649269311064718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.23173277661795408,0.0,0.0,0.060542797494780795,0.0,0.010438413361169102,0.1544885177453027,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010438413361169102,0.0,0.0,0.27348643006263046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008350730688935281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07933194154488518,0.0,0.0,0.0
ca08,0.0,0.0,0.2254335260115607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2543352601156069,0.0,0.0,0.023121387283236993,0.0,0.007707129094412331,0.16184971098265896,0.0,0.0,0.0,0.0,0.0,0.007707129094412331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0,0.2581888246628131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007707129094412331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04046242774566474,0.0,0.0,0.0
ca09,0.0,0.0,0.14380530973451328,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25663716814159293,0.0,0.0,0.03761061946902655,0.0,0.011061946902654867,0.2234513274336283,0.0,0.0,0.0,0.0,0.0,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011061946902654867,0.0,0.0,0.2411504424778761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05088495575221239,0.0,0.0,0.0
ca10,0.0,0.0,0.22964509394572025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.2359081419624217,0.0,0.0,0.031315240083507306,0.0,0.018789144050104383,0.1524008350730689,0.0,0.0,0.0,0.0,0.0,0.006263048016701462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041753653444676405,0.0,0.0,0.24217118997912318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010438413361169102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06680584551148225,0.0,0.0,0.0
ca11,0.0,0.0,0.27702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0022522522522522522,0.3761261261261261,0.0,0.0,0.0472972972972973,0.0,0.02252252252252252,0.1036036036036036,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.12387387387387387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015765765765765764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.0
ca12,0.0,0.0,0.2706422018348624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020642201834862386,0.0022935779816513763,0.0,0.0,0.0,0.3853211009174312,0.0,0.0,0.011467889908256881,0.0,0.009174311926605505,0.08256880733944955,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,0.0,0.0,0.13761467889908258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.0,0.0,0.0,0.0022935779816513763,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03669724770642202,0.0,0.0,0.0
ca13,0.0,0.0,0.2898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357487922705314,0.0,0.0,0.021739130434782608,0.0,0.01932367149758454,0.0893719806763285,0.0,0.0,0.0,0.0,0.0,0.01932367149758454,0.0,0.0,0.0,0.0,0.0024154589371980675,0.0,0.0,0.012077294685990338,0.0024154589371980675,0.0,0.1280193236714976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01932367149758454,0.0,0.0,0.0,0.0024154589371980675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03140096618357488,0.0,0.0,0.0
ca14,0.0,0.0,0.28118393234672306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012684989429175475,0.0,0.0,0.0,0.0,0.24312896405919662,0.0,0.0,0.02748414376321353,0.0,0.03171247357293869,0.1014799154334038,0.0,0.0,0.0,0.0,0.0,0.019027484143763214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021141649048625794,0.004228329809725159,0.0,0.19661733615221988,0.0,0.0,0.0,0.0,0.0,0.004228329809725159,0.0,0.0,0.012684989429175475,0.0,0.0,0.0,0.004228329809725159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021141649048625794,0.0,0.0,0.0,0.0021141649048625794,0.0,0.0,0.0,0.0,0.05496828752642706,0.0,0.0,0.0
ca15,0.0,0.0,0.354916067146283,0.0,0.0,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.0,0.0,0.0,0.2997601918465228,0.0,0.0,0.011990407673860911,0.0,0.014388489208633094,0.10551558752997602,0.002398081534772182,0.0,0.0,0.0,0.0,0.019184652278177457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011990407673860911,0.0,0.0,0.11750599520383694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014388489208633094,0.0,0.0,0.0
ca16,0.0,0.0,0.2868525896414343,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.0,0.0,0.0,0.00199203187250996,0.26693227091633465,0.0,0.00199203187250996,0.021912350597609563,0.0,0.0099601593625498,0.13147410358565736,0.0,0.0,0.0,0.0,0.00199203187250996,0.01593625498007968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017928286852589643,0.0,0.0,0.15139442231075698,0.0,0.00199203187250996,0.0,0.00597609561752988,0.0,0.0,0.0,0.0,0.03386454183266932,0.0,0.0,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03386454183266932,0.0,0.0,0.0
ca17,0.0,0.0,0.25,0.004545454545454545,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.004545454545454545,0.0,0.01818181818181818,0.15,0.0,0.004545454545454545,0.0,0.0,0.0,0.013636363636363636,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0022727272727272726,0.0022727272727272726,0.0,0.18409090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.03636363636363636,0.0,0.0,0.0
ca18,0.0,0.0,0.2716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024691358024691358,0.0,0.0,0.0,0.2617283950617284,0.0,0.0,0.04197530864197531,0.0,0.014814814814814815,0.13580246913580246,0.0,0.0,0.0,0.0,0.0,0.007407407407407408,0.0,0.0,0.0,0.0024691358024691358,0.0,0.0,0.0,0.019753086419753086,0.0,0.0,0.16296296296296298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03209876543209877,0.0,0.0,0.0
ca19,0.0,0.0,0.1336116910229645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.0,0.31106471816283926,0.0,0.0,0.037578288100208766,0.0,0.031315240083507306,0.1315240083507307,0.0,0.0,0.0,0.0,0.0,0.008350730688935281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818371607515658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.0,0.0,0.0020876826722338203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05845511482254697,0.0,0.0,0.0
ca20,0.0,0.0,0.22483940042826553,0.0021413276231263384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762312633832976,0.0,0.0,0.03854389721627409,0.0,0.019271948608137045,0.16059957173447537,0.0,0.0,0.0,0.0,0.0,0.010706638115631691,0.0,0.0,0.0,0.0021413276231263384,0.0,0.0,0.0,0.004282655246252677,0.0,0.0,0.21627408993576017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008565310492505354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03640256959314775,0.0,0.0,0.0
ca21,0.0,0.0,0.24778761061946902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676991150442478,0.0,0.0,0.04424778761061947,0.0,0.01327433628318584,0.13274336283185842,0.0,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0,0.0,0.0,0.004424778761061947,0.0,0.0,0.004424778761061947,0.0,0.0,0.21460176991150443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004424778761061947,0.004424778761061947,0.0,0.0,0.0,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05088495575221239,0.0,0.0,0.0
ca22,0.0,0.0,0.16777041942604856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002207505518763797,0.0,0.0,0.0,0.002207505518763797,0.3068432671081678,0.0,0.0,0.02869757174392936,0.0,0.033112582781456956,0.11699779249448124,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.22958057395143489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728476821192053,0.0,0.0,0.0
ca23,0.0,0.0,0.1995841995841996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004158004158004158,0.0,0.0,0.0,0.0,0.2203742203742204,0.0,0.0,0.018711018711018712,0.0,0.008316008316008316,0.16632016632016633,0.0,0.0,0.0,0.0,0.002079002079002079,0.012474012474012475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010395010395010396,0.0,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008316008316008316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002079002079002079,0.0,0.0,0.0,0.0,0.0498960498960499,0.0,0.0,0.0
ca24,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.027083333333333334,0.0,0.025,0.14791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,0.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0020833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
